Op_Seq,BOM_Target(EA),Item_Description,Ref_Des,PDF_Actual(EA),Actual_fond(EA),Not_found(EA),Result
50,12.0,"RES_SMD RES.0603 3,32KOHM 1% 100MW 100PPM LF","YR336,YR337,YR338,YR339,YR340,YR341,YR409,YR411,YR413,YR453,YR455,YR457",,,,
50,7.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE RR1206K 37,4 OHM 1% 0,25W 100PPM","YR71,YR72,YR135,YR136,YR216,YR267,YR368",,,,
50,1.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 1206 3,32KOHM 1% 250MW 100PPM 7""",YR451,,,,
50,2.0,"CAP_SMD T-FILTER 3,3NF -20+80% 100V","YFL1,YFL2",,,,
50,2.0,"RES_RES.CMS 1206 30,1 OHM 1% 0,25W 100PPM","YR658,YR729",,,,
50,1.0,"CAPACITOR_CERAMIC CAPACITOR I 1206 COG 100PF 5% 100V 7""",YC45,,,,
50,2.0,RES_RES.CMS 1206 10KOHM 5% 250MW 100PPM,"YR78,YR108",,,,
50,4.0,"CAPACITOR_CONDENSATEUR CERAMIQUE II0805 X7R 33NF 10% 50V 7""","YC261,YC262,YC263,YC264",,,,
50,1.0,CAPACITOR_CERAMIC CAPACITOR I CAPACITOR_COND CMS 1206 NPO 220PF 5% 100V BDE,YC29,,,,
50,4.0,"IND_INDUCTANCE CMS 1010 3,9UH 10% 250MA","YL1,YL2,YL3,YL4",,,,
50,5.0,CAPACITOR_CONDENSATEUR CERAMIQUE ICEC12C NPO 390PF 5% 100V,"YC30,YC51,YC54,YC87,YC109",,,,
50,4.0,"CAPACITOR_CONDENSATEUR TANTALE SOLIDE TAJ TA.SOLIDE 3,3UF 10% 16V","YC1,YC67,YC68,YC76",,,,
50,4.0,"CAPACITOR_CONDENSATEUR CERAMIQUE I0603 COG 33PF 5% 50V 7""","YC227,YC229,YC240,YC242",,,,
50,2.0,"CAPACITOR_CONDENSATEUR CERAMIQUE 1 0603 COG 47PF 5% 50V 7""","YC265,YC266",,,,
50,4.0,"CAPACITOR_CONDENSATEUR CERAMIQUE I0603 COG 68PF 5% 50V 7""","YC148,YC153,YC171,YC177",,,,
50,1.0,"CAPACITOR_CONDENSATEUR CERAMIQUE II1206 X7R 3,9NF 10% 100V  7""",YC92,,,,
50,3.0,"CAPACITOR_CONDENSATEUR TANTALE SOLIDE CTC3 1UF 20% 16V BOIT.A 7""","YC33,YC43,YC46",,,,
50,6.0,"CAPACITOR_CERAMIC CAPACITOR II 1206 X7R 1UF 10% 16V 7""","YC189,YC190,YC191,YC214,YC215,YC216",,,,
50,19.0,"CAPACITOR_CERAMIC CAPACITOR II 1206 X7R 100NF 10% 50V 7""","YC4,YC7,YC8,YC9,YC10,YC11,YC12,YC14,YC48,YC52,YC53,YC55,YC56,YC72,YC73,YC78,YC79,YC98,YC99",,,,
50,169.0,"CAPACITOR_CONDENSATEUR CERAMIQUE 2 A BISMUTH 0603 X7R 47NF 10% 25V 7""","YC2,YC3,YC5,YC6,YC13,YC15,YC16,YC17,YC19,YC20,YC21,YC22,YC23,YC26,YC34,YC35,YC36,YC37,YC38,YC39,YC40,YC41,YC42,YC47,YC49,YC50,YC57,YC58,YC59,YC62,YC63,YC64,YC65,YC66,YC71,YC74,YC75,YC77,YC80,YC82,YC83,YC85,YC88,YC91,YC93,YC94,YC95,YC96,YC97,YC100,YC101,YC102,YC103,YC104,YC105,YC106,YC107,YC110,YC111,YC113,YC114,YC115,YC116,YC117,YC118,YC119,YC120,YC121,YC128,YC130,YC131,YC132,YC133,YC134,YC135,YC136,YC137,YC138,YC139,YC140,YC141,YC144,YC145,YC146,YC147,YC149,YC150,YC151,YC152,YC154,YC155,YC156,YC158,YC159,YC160,YC161,YC162,YC164,YC165,YC166,YC169,YC170,YC172,YC173,YC174,YC175,YC176,YC178,YC179,YC180,YC181,YC182,YC183,YC184,YC187,YC188,YC192,YC193,YC194,YC195,YC196,YC197,YC198,YC199,YC200,YC201,YC202,YC203,YC204,YC205,YC212,YC213,YC217,YC218,YC219,YC220,YC221,YC222,YC223,YC224,YC225,YC226,YC228,YC230,YC232,YC233,YC234,YC235,YC236,YC237,YC239,YC241,YC243,YC244,YC246,YC247,YC248,YC249,YC250,YC251,YC252,YC253,YC254,YC255,YC256,YC257,YC258,YC259,YC260",,,,
50,20.0,DIODE_DIODE CMS SSTPAD5 -55V 5PA SOT23,"YCR166,YCR167,YCR168,YCR169,YCR170,YCR171,YCR172,YCR173,YCR174,YCR175,YCR176,YCR177,YCR178,YCR179,YCR199,YCR200,YCR201,YCR202,YCR203,YCR204",,,,
50,30.0,CAPACITOR_CERAMIC CAPACITOR II CNC2C 220NF 10% 25V,"YC18,YC24,YC25,YC27,YC28,YC31,YC32,YC44,YC123,YC124,YC125,YC126,YC127,YC142,YC143,YC157,YC163,YC167,YC168,YC185,YC186,YC206,YC207,YC208,YC209,YC210,YC211,YC231,YC238,YC245",,,,
50,2.0,DIODE_DIODE ZENER CMS 6V8 5% SOD80,"YCR88,YCR123",,,,
50,16.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 0 OHM R<20mOHM I=1A5 10""","RR1,YR28,YR70,YR73,YR132,YR134,YR167,YR171,YR186,YR188,YR190,YR192,YR505,YR506,YR509,YR530",,,,
50,5.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 33,2 OHM 1% 1/8W 100PPM","YR4,YR5,YR6,YR7,YR15",,,,
50,6.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 68,1KOHM 1% 100MW 100PPM 7""","YR27,YR31,YR57,YR58,YR60,YR82",,,,
50,12.0,"RESISTOR_RESISTANCE A COUCHE EPAISSE 0603 12,1KOHM 1% 100MW 100PPM 7""","YR90,YR97,YR109,YR162,YR182,YR195,YR234,YR239,YR240,YR305,YR330,YR347",,,,
